attack_advantage,attack_advantage_ci_high,attack_advantage_ci_low,attack_name,attack_seed,attack_train_size,backend_type,balanced_accuracy,bootstrap_samples,f1,low_fpr,low_fpr_resolution_limited,normal_hnsw_mrr_at_5,normal_hnsw_recall_at_5,normal_index_build_time,normal_mean_query_time,precision,recall,roc_auc,roc_auc_ci_high,roc_auc_ci_low,scheme,shadow_member_count,shadow_nonmember_count,split_seed,target_member_count,target_nonmember_count,tpr_at_fpr,tpr_at_fpr_ci_high,tpr_at_fpr_ci_low,vector_dim
0.01,0.12,0.0,shadow_logistic_regression,2031,200,hnsw,0.385,1000,0.36923076923076925,0.01,False,0.9666666666666667,1.0,0.0026275115087628365,2.1110568195581435e-05,0.37894736842105264,0.36,0.37174999999999997,0.44861625,0.29329874999999994,Vanilla Raw HNSW,100,100,2030,100,100,0.01,0.05,0.0,1024
0.030000000000000027,0.12999999999999995,0.01,shadow_density_knn,2031,200,hnsw,0.44,1000,0.5172413793103449,0.01,False,0.9666666666666667,1.0,0.0026275115087628365,2.1110568195581435e-05,0.45454545454545453,0.6,0.44079999999999997,0.51565375,0.36174624999999994,Vanilla Raw HNSW,100,100,2030,100,100,0.03,0.07,0.0,1024
0.0,0.06,0.0,shadow_logistic_regression,2031,200,hnsw,0.4,1000,0.3617021276595745,0.01,False,0.5544444444444444,0.5666666666666665,0.0010276250541210175,1.2250710278749466e-05,0.38636363636363635,0.34,0.37170000000000003,0.4466649999999999,0.2989875,Our DP-RAG-JL256,100,100,2030,100,100,0.01,0.03,0.0,256
0.03,0.12,0.01,shadow_density_knn,2031,200,hnsw,0.445,1000,0.5506072874493927,0.01,False,0.5544444444444444,0.5666666666666665,0.0010276250541210175,1.2250710278749466e-05,0.46258503401360546,0.68,0.43339999999999995,0.5110025,0.352675,Our DP-RAG-JL256,100,100,2030,100,100,0.04,0.08,0.0,256
0.06,0.19,0.030000000000000002,shadow_logistic_regression,2031,200,hnsw,0.485,1000,0.455026455026455,0.01,False,0.3427777777777778,0.26000000000000006,0.0011040819808840752,1.4325231313705445e-05,0.48314606741573035,0.43,0.5003500000000001,0.5833575,0.42414625,Private RAG-RP,100,100,2030,100,100,0.03,0.09,0.0,64
0.030000000000000027,0.16000000000000003,0.01,shadow_density_knn,2031,200,hnsw,0.49,1000,0.6106870229007634,0.01,False,0.3427777777777778,0.26000000000000006,0.0011040819808840752,1.4325231313705445e-05,0.49382716049382713,0.8,0.46180000000000004,0.54025625,0.3812725,Private RAG-RP,100,100,2030,100,100,0.02,0.09,0.0,64
0.01,0.1,0.0,shadow_logistic_regression,2031,200,hnsw_filter_refine,0.425,1000,0.41624365482233505,0.01,False,0.9666666666666667,1.0,0.002008170820772648,3.3871891597906746e-05,0.422680412371134,0.41,0.3876,0.46030499999999996,0.3135875,DCPE+DCE,100,100,2030,100,100,0.01,0.05,0.0,1024
0.04999999999999993,0.14,0.02,shadow_density_knn,2031,200,hnsw_filter_refine,0.43000000000000005,1000,0.49557522123893805,0.01,False,0.9666666666666667,1.0,0.002008170820772648,3.3871891597906746e-05,0.4444444444444444,0.56,0.4416999999999999,0.5175000000000001,0.3626825,DCPE+DCE,100,100,2030,100,100,0.03,0.07,0.01,1024
