backend_type,ef_search,mean_sensitive_chunks_at_5,mean_target_rank_when_retrieved,normal_hnsw_mrr_at_5,normal_hnsw_recall_at_5,normal_index_build_time,normal_mean_query_time,num_attack_queries,num_sensitive_targets,sample_chunks,scheme,sensitive_target_recall_at_1,sensitive_target_recall_at_5,sensitive_top1_exposure_rate,top_k,vector_dim
hnsw,64,4.7105263157894735,1.8636363636363635,0.9666666666666667,0.9800000000000001,0.004938873462378979,3.683663283785184e-05,38,38,100,Vanilla Raw HNSW,0.3157894736842105,0.5789473684210527,0.3157894736842105,5,1024
hnsw,64,4.526315789473684,1.5333333333333334,0.6633333333333334,0.5866666666666667,0.0010455464944243431,1.2308514366547266e-05,38,38,100,Our DP-RAG-JL256,0.23684210526315788,0.39473684210526316,0.23684210526315788,5,256
hnsw,64,4.5,2.2857142857142856,0.30277777777777776,0.28,0.000895163044333458,1.1920680602391561e-05,38,38,100,Private RAG-RP,0.15789473684210525,0.3684210526315789,0.15789473684210525,5,64
hnsw_filter_refine,64,4.7105263157894735,1.9090909090909092,1.0,0.9733333333333333,0.002163493074476719,3.5637648155291873e-05,38,38,100,DCPE+DCE,0.2894736842105263,0.5789473684210527,0.2894736842105263,5,1024
