backend_type,candidate_pool_size,linkage_mrr_at_5,linkage_recall_at_5,linkage_top1_recovery_rate,normal_hnsw_mrr_at_5,normal_hnsw_recall_at_5,normal_index_build_time,normal_mean_query_time,num_sensitive_chunks,sample_chunks,scheme,sensitive_linkage_mrr_at_5,sensitive_linkage_recall_at_5,sensitive_linkage_top1_recovery_rate,sensitive_types,vector_dim
hnsw,100,0.9,1.0,0.8,0.9666666666666667,0.9800000000000001,0.0031693316996097565,2.076138431827227e-05,38,100,Vanilla Raw HNSW,0.9868421052631579,1.0,0.9736842105263158,"email,url,phone",1024
hnsw,100,0.905,1.0,0.81,0.6633333333333334,0.5866666666666667,0.0013230759650468826,1.5495531260967255e-05,38,100,Our DP-RAG-JL256,0.9868421052631579,1.0,0.9736842105263158,"email,url,phone",256
hnsw,100,0.905,1.0,0.81,0.30277777777777776,0.28,0.001086193136870861,1.3888906687498093e-05,38,100,Private RAG-RP,0.9868421052631579,1.0,0.9736842105263158,"email,url,phone",64
hnsw_filter_refine,100,0.91,1.0,0.82,1.0,0.9733333333333333,0.0025512902066111565,4.218065490325292e-05,38,100,DCPE+DCE,0.9868421052631579,1.0,0.9736842105263158,"email,url,phone",1024
