Degree,Dimension,Iteration,Relative_Error,Evaluation_Time
4096,128,0,0.020101017932237657,0.002917766571044922
4096,128,1,0.019666651947085494,0.002856016159057617
4096,128,2,0.01926450861176705,0.0028221607208251953
4096,128,3,0.018794048940076954,0.002833127975463867
4096,128,4,0.019546813579760524,0.002915620803833008
4096,128,5,0.018675454509317724,0.00289154052734375
4096,128,6,0.01922051742191552,0.0029175281524658203
4096,128,7,0.018784790179884065,0.0031316280364990234
4096,128,8,0.019229016388219385,0.002905130386352539
4096,128,9,0.01938682486058999,0.0031499862670898438
4096,128,10,0.018637060567964225,0.0030095577239990234
4096,128,11,0.01820005715197227,0.003062009811401367
4096,128,12,0.019398071330229905,0.0030393600463867188
4096,128,13,0.01837258444508082,0.0030546188354492188
4096,128,14,0.019772125274518996,0.0030777454376220703
4096,128,15,0.019088685081513724,0.0030117034912109375
4096,128,16,0.019385795256315005,0.0029039382934570312
4096,128,17,0.01874055181349452,0.0030705928802490234
4096,128,18,0.01934260297885552,0.0029573440551757812
4096,128,19,0.019333755844909307,0.0029404163360595703
4096,512,0,0.017031079870421077,0.0035605430603027344
4096,512,1,0.016955637388147315,0.004038333892822266
4096,512,2,0.017193711963289705,0.0035047531127929688
4096,512,3,0.01740030936020579,0.0034973621368408203
4096,512,4,0.01740224040320571,0.0034601688385009766
4096,512,5,0.01743395924337539,0.003450155258178711
4096,512,6,0.01736767001352984,0.003657102584838867
4096,512,7,0.017182673467793026,0.0035605430603027344
4096,512,8,0.01751642514818103,0.003621339797973633
4096,512,9,0.0175998955050283,0.003696918487548828
4096,512,10,0.017428750915925904,0.003647327423095703
4096,512,11,0.017300924039891565,0.0036211013793945312
4096,512,12,0.01713882362194522,0.0038623809814453125
4096,512,13,0.017308019282823148,0.003763437271118164
4096,512,14,0.017360086487889875,0.003969430923461914
4096,512,15,0.017229076489258636,0.003787517547607422
4096,512,16,0.017441154728818818,0.003762960433959961
4096,512,17,0.01735896058576318,0.0037610530853271484
4096,512,18,0.017189227640840594,0.0038290023803710938
4096,512,19,0.01725584039492641,0.003839254379272461
4096,1024,0,0.01657439413245332,0.004186391830444336
4096,1024,1,0.016836116804344575,0.004257917404174805
4096,1024,2,0.01647617361844802,0.004433870315551758
4096,1024,3,0.016686031298071568,0.0043430328369140625
4096,1024,4,0.016783525891446206,0.0046634674072265625
4096,1024,5,0.016649836626894666,0.004469633102416992
4096,1024,6,0.016898428994337418,0.00477910041809082
4096,1024,7,0.01666916564116782,0.004820108413696289
4096,1024,8,0.016738644943880415,0.0049822330474853516
4096,1024,9,0.01653746941478433,0.005232334136962891
4096,1024,10,0.01662587624475871,0.005378007888793945
4096,1024,11,0.016426963673801614,0.005525350570678711
4096,1024,12,0.0166857045600785,0.0062541961669921875
4096,1024,13,0.016779101958079592,0.005987644195556641
4096,1024,14,0.01704054103813793,0.00629734992980957
4096,1024,15,0.01658784564375622,0.00693058967590332
4096,1024,16,0.01630088311286392,0.007605075836181641
4096,1024,17,0.0167698477755283,0.00797271728515625
4096,1024,18,0.01674842094904022,0.011895418167114258
4096,1024,19,0.016608841097488426,0.015369176864624023
4096,4096,0,0.016061037267578196,0.03685450553894043
4096,4096,1,0.016037089925468307,0.09386467933654785
4096,4096,2,0.01597989757627337,0.04912853240966797
4096,4096,3,0.015989894594047864,0.035475969314575195
4096,4096,4,0.016022956972732625,0.03362441062927246
4096,4096,5,0.015910874090133195,0.027626514434814453
4096,4096,6,0.01597129804844355,0.023300886154174805
4096,4096,7,0.016122963001700272,0.019796133041381836
4096,4096,8,0.01605956093059724,0.014909982681274414
4096,4096,9,0.015952566313214147,0.012532711029052734
4096,4096,10,0.016016060026585958,0.01077890396118164
4096,4096,11,0.016081348979644028,0.009449243545532227
4096,4096,12,0.015947827954771635,0.00871896743774414
4096,4096,13,0.015922588486469512,0.007875680923461914
4096,4096,14,0.01595654305063106,0.007763862609863281
4096,4096,15,0.016169093319905993,0.0075495243072509766
4096,4096,16,0.01601468008231695,0.0069811344146728516
4096,4096,17,0.015936976380355933,0.007111549377441406
4096,4096,18,0.016063686250372376,0.006739139556884766
4096,4096,19,0.016038567919395258,0.006700992584228516
4096,16384,0,0.016005066093233714,0.02536463737487793
4096,16384,1,0.015954510470775597,0.024452924728393555
4096,16384,2,0.015996518367257732,0.029015779495239258
4096,16384,3,0.01598798367811043,0.027524471282958984
4096,16384,4,0.0160049475320519,0.0272066593170166
4096,16384,5,0.016067958991115832,0.028354406356811523
4096,16384,6,0.01600360773257696,0.02939605712890625
4096,16384,7,0.016055614297113625,0.0311734676361084
4096,16384,8,0.01602441249894918,0.03578591346740723
4096,16384,9,0.01604173365356337,0.041307926177978516
4096,16384,10,0.016028099647811864,0.05524492263793945
4096,16384,11,0.015998971338006433,0.2892119884490967
4096,16384,12,0.015996452109313324,0.07110214233398438
4096,16384,13,0.015951055251704833,0.03758811950683594
4096,16384,14,0.015970293938885508,0.028867244720458984
4096,16384,15,0.016046215518196797,0.02405405044555664
4096,16384,16,0.01599830029227803,0.025356769561767578
4096,16384,17,0.016029705188891807,0.02512979507446289
4096,16384,18,0.0160059071869148,0.02661585807800293
4096,16384,19,0.015999979211710424,0.0288388729095459
4096,65536,0,0.016005193600183966,0.13500094413757324
4096,65536,1,0.015998191989198263,0.7248914241790771
4096,65536,2,0.015980343036858094,0.12589120864868164
4096,65536,3,0.016004678955024217,0.10059237480163574
4096,65536,4,0.016020590595553316,0.10612177848815918
4096,65536,5,0.01599203874061823,0.2640719413757324
4096,65536,6,0.016027948239055578,0.20648455619812012
4096,65536,7,0.016006716053082733,0.11503148078918457
4096,65536,8,0.016020704453589066,0.10786843299865723
4096,65536,9,0.01603749809881268,0.13074040412902832
4096,65536,10,0.016008188161998192,0.6081960201263428
4096,65536,11,0.015985673547633895,0.10871243476867676
4096,65536,12,0.015974359871847463,0.1128692626953125
4096,65536,13,0.016001207126901087,0.1915290355682373
4096,65536,14,0.016017409125293758,0.396716833114624
4096,65536,15,0.015986737924117804,0.1542973518371582
4096,65536,16,0.016002179317764476,0.11940288543701172
4096,65536,17,0.016006582928987483,0.12318992614746094
4096,65536,18,0.015989849201958384,0.5980226993560791
4096,65536,19,0.01599382120450128,0.13207578659057617
4096,262144,0,0.016003758068503397,1.1484341621398926
4096,262144,1,0.01601168326737552,1.3167431354522705
4096,262144,2,0.015991341682547035,0.9861247539520264
4096,262144,3,0.016005995423769705,0.49907374382019043
4096,262144,4,0.01600724232457211,0.7351057529449463
4096,262144,5,0.01600492138167066,1.1790215969085693
4096,262144,6,0.015992878610577917,1.0806927680969238
4096,262144,7,0.01600820000792513,1.3569467067718506
4096,262144,8,0.01601412441618956,1.151231288909912
4096,262144,9,0.015993372284241147,0.9298171997070312
4096,262144,10,0.01599850262306923,0.945448637008667
4096,262144,11,0.016004718002107787,1.0182194709777832
4096,262144,12,0.01600451920353876,1.5390660762786865
4096,262144,13,0.016001632545553927,1.078087568283081
4096,262144,14,0.016020799971310992,0.5408122539520264
4096,262144,15,0.015989842166774956,0.5810611248016357
4096,262144,16,0.015993811341461755,0.595008373260498
4096,262144,17,0.016005173888423527,0.4675004482269287
4096,262144,18,0.016006030717387636,0.4973790645599365
4096,262144,19,0.016003345202753105,1.0000250339508057
8192,128,0,1.1517921126402411e-07,0.012083768844604492
8192,128,1,1.1305078626046222e-07,0.012042760848999023
8192,128,2,1.189578998762178e-07,0.012937784194946289
8192,128,3,1.1868681705632092e-07,0.015049457550048828
8192,128,4,1.1777157958775568e-07,0.017572402954101562
8192,128,5,1.1770618722665929e-07,0.026578187942504883
8192,128,6,1.167989782327659e-07,0.0552515983581543
8192,128,7,1.188927238881007e-07,0.15254497528076172
8192,128,8,1.191862799960278e-07,0.04270815849304199
8192,128,9,1.1754777280771255e-07,0.024219751358032227
8192,128,10,1.175431820075243e-07,0.01784992218017578
8192,128,11,1.1958059129497538e-07,0.01579141616821289
8192,128,12,1.1430048663940052e-07,0.013847827911376953
8192,128,13,1.1707508850484774e-07,0.013326406478881836
8192,128,14,1.1239246796098882e-07,0.012909889221191406
8192,128,15,1.170507936920322e-07,0.012472391128540039
8192,128,16,1.1457994748075179e-07,0.012530088424682617
8192,128,17,1.1595828489664778e-07,0.011703968048095703
8192,128,18,1.0989367785765187e-07,0.011478424072265625
8192,128,19,1.1861784726541706e-07,0.01115727424621582
8192,512,0,1.3141935320910258e-07,0.013022184371948242
8192,512,1,1.315912545169024e-07,0.012841939926147461
8192,512,2,1.3057840733199214e-07,0.012444257736206055
8192,512,3,1.3114503405814489e-07,0.0124664306640625
8192,512,4,1.3059539123210026e-07,0.011912822723388672
8192,512,5,1.3148007496862605e-07,0.011777877807617188
8192,512,6,1.3181417959242665e-07,0.011417865753173828
8192,512,7,1.3134536883335172e-07,0.011847734451293945
8192,512,8,1.3125805552950794e-07,0.011380434036254883
8192,512,9,1.311925511422591e-07,0.011120080947875977
