Degree,Dimension,Iteration,Relative_Error,Evaluation_Time
4096,128,0,0.012883775155099062,0.0026063919067382812
4096,128,1,0.012338660596350868,0.0024559497833251953
4096,128,2,0.012770008139207267,0.002380847930908203
4096,128,3,0.012845574984944604,0.002439260482788086
4096,128,4,0.012496788052592385,0.0023603439331054688
4096,128,5,0.012205081422285633,0.0023131370544433594
4096,128,6,0.012566807852739031,0.002389669418334961
4096,128,7,0.01294519153174224,0.002362966537475586
4096,128,8,0.012905923347685132,0.0023756027221679688
4096,128,9,0.01304850085614113,0.0022630691528320312
4096,128,10,0.013288018504311577,0.002259969711303711
4096,128,11,0.013385628710267359,0.0022149085998535156
4096,128,12,0.011564480082623433,0.002423524856567383
4096,128,13,0.01293027624597143,0.0024182796478271484
4096,128,14,0.011185864369502814,0.002765655517578125
4096,128,15,0.013104963514431474,0.00275421142578125
4096,128,16,0.011979208892546436,0.0026063919067382812
4096,128,17,0.012220537436673676,0.0025565624237060547
4096,128,18,0.011723755029860188,0.0026671886444091797
4096,128,19,0.013936915661914797,0.002543926239013672
4096,512,0,0.014654964353449366,0.0031375885009765625
4096,512,1,0.01435692594252007,0.0030562877655029297
4096,512,2,0.01460568111876685,0.0030176639556884766
4096,512,3,0.01476031799933764,0.0031402111053466797
4096,512,4,0.014485632879514551,0.0029129981994628906
4096,512,5,0.014513160086800538,0.0030956268310546875
4096,512,6,0.014651704484090854,0.003037691116333008
4096,512,7,0.01449813077803237,0.003086566925048828
4096,512,8,0.014625190003780184,0.0029726028442382812
4096,512,9,0.014943442180226899,0.002919435501098633
4096,512,10,0.015132322317816282,0.002954244613647461
4096,512,11,0.014459267233212659,0.0029604434967041016
4096,512,12,0.014311219727598773,0.0029251575469970703
4096,512,13,0.014491594494266506,0.0029234886169433594
4096,512,14,0.014610063228372307,0.0031278133392333984
4096,512,15,0.014817772945239841,0.002913951873779297
4096,512,16,0.014206167853727593,0.0029230117797851562
4096,512,17,0.01494446910211252,0.0029096603393554688
4096,512,18,0.01428558676275008,0.0030171871185302734
4096,512,19,0.014747478792570176,0.0032525062561035156
4096,1024,0,0.014746068754696163,0.0035262107849121094
4096,1024,1,0.014660640680434827,0.0034492015838623047
4096,1024,2,0.014750694274526879,0.003543853759765625
4096,1024,3,0.014607547934674772,0.003374338150024414
4096,1024,4,0.014468090971912491,0.003404855728149414
4096,1024,5,0.014904798026179082,0.0035941600799560547
4096,1024,6,0.01454382136901462,0.003755807876586914
4096,1024,7,0.014557046988408531,0.0037336349487304688
4096,1024,8,0.014799006592324786,0.0037147998809814453
4096,1024,9,0.014764216299971603,0.0037298202514648438
4096,1024,10,0.014857733533143852,0.003719329833984375
4096,1024,11,0.014713858703317245,0.003724336624145508
4096,1024,12,0.01480792928997031,0.0038347244262695312
4096,1024,13,0.01492411701682607,0.00389862060546875
4096,1024,14,0.014610845898818267,0.0038976669311523438
4096,1024,15,0.014788933737067871,0.0039560794830322266
4096,1024,16,0.014940151978780803,0.004028797149658203
4096,1024,17,0.014670696747562674,0.0039446353912353516
4096,1024,18,0.014939811531082748,0.003907203674316406
4096,1024,19,0.01478562313744761,0.0038957595825195312
4096,4096,0,0.01535619298969571,0.008904695510864258
4096,4096,1,0.015357121865368514,0.008709907531738281
4096,4096,2,0.015242005246181502,0.008767127990722656
4096,4096,3,0.015354227380371222,0.009084463119506836
4096,4096,4,0.015317398031401626,0.009530782699584961
4096,4096,5,0.015291332541292925,0.010416269302368164
4096,4096,6,0.015239091266041463,0.010633230209350586
4096,4096,7,0.015286750517708777,0.011141538619995117
4096,4096,8,0.015373953326097728,0.011451005935668945
4096,4096,9,0.015248541826222614,0.012529611587524414
4096,4096,10,0.015238307747915887,0.011681795120239258
4096,4096,11,0.015101593005014832,0.011933326721191406
4096,4096,12,0.015275537582806288,0.01154017448425293
4096,4096,13,0.015293811915605518,0.01196599006652832
4096,4096,14,0.015189684934374472,0.011603832244873047
4096,4096,15,0.015368505416866901,0.011134862899780273
4096,4096,16,0.015326323215908986,0.011514425277709961
4096,4096,17,0.01532822604470362,0.011644124984741211
4096,4096,18,0.015271108450395669,0.011587381362915039
4096,4096,19,0.015347880404929026,0.010972738265991211
4096,16384,0,0.015238100566179866,0.04140472412109375
4096,16384,1,0.015280388478069512,0.03731799125671387
4096,16384,2,0.015254540634840434,0.03252840042114258
4096,16384,3,0.015234384564956502,0.028501033782958984
4096,16384,4,0.015267016266578896,0.027036190032958984
4096,16384,5,0.015316953087877536,0.02774357795715332
4096,16384,6,0.01528778577519975,0.02916741371154785
4096,16384,7,0.01523506635999935,0.029750585556030273
4096,16384,8,0.015255053447225332,0.030135154724121094
4096,16384,9,0.015241127451431875,0.029120922088623047
4096,16384,10,0.01530385737118516,0.029381752014160156
4096,16384,11,0.015324427043932927,0.030601978302001953
4096,16384,12,0.015216538121208063,0.03618431091308594
4096,16384,13,0.015320127049956028,0.04006695747375488
4096,16384,14,0.015248946038524988,0.04872250556945801
4096,16384,15,0.01525004355170828,0.06550168991088867
4096,16384,16,0.015265290456645786,0.08013439178466797
4096,16384,17,0.015314827025130793,0.06782722473144531
4096,16384,18,0.015279161837616143,0.05546402931213379
4096,16384,19,0.015264493906869271,0.04596996307373047
4096,65536,0,0.015258086078746175,0.15096592903137207
4096,65536,1,0.015273427181897864,0.13680672645568848
4096,65536,2,0.015252085869732911,0.13591718673706055
4096,65536,3,0.015288651543257214,0.3877682685852051
4096,65536,4,0.015263064658458917,0.1654529571533203
4096,65536,5,0.015285494814568245,0.10524606704711914
4096,65536,6,0.015274519525329865,0.12514686584472656
4096,65536,7,0.015280971639386853,0.17035412788391113
4096,65536,8,0.015261990531055456,0.12181615829467773
4096,65536,9,0.015303753235192044,0.10327315330505371
4096,65536,10,0.015303473666352105,0.11020565032958984
4096,65536,11,0.015259535478926127,0.1678481101989746
4096,65536,12,0.015261417743497749,0.14662790298461914
4096,65536,13,0.015266349692576158,0.106201171875
4096,65536,14,0.01526638623060829,0.10745716094970703
4096,65536,15,0.015247111634199832,0.11930274963378906
4096,65536,16,0.015289843863801233,0.13326430320739746
4096,65536,17,0.015261487676665627,0.18741130828857422
4096,65536,18,0.015243622280035484,0.14000391960144043
4096,65536,19,0.015266266798556053,0.1025700569152832
4096,262144,0,0.015282354440150346,0.543041467666626
4096,262144,1,0.015293977427978922,0.4672880172729492
4096,262144,2,0.015259669201934821,0.41983652114868164
4096,262144,3,0.01526989447504213,0.4705643653869629
4096,262144,4,0.015275833384746407,0.5118799209594727
4096,262144,5,0.015283604651655657,0.5755021572113037
4096,262144,6,0.01527299001670979,0.5882823467254639
4096,262144,7,0.015285699917114209,0.5046987533569336
4096,262144,8,0.015252334953534247,0.47368669509887695
4096,262144,9,0.015252227357704044,0.50152587890625
4096,262144,10,0.015270706822600693,0.49017953872680664
4096,262144,11,0.015255221322582668,0.5370473861694336
4096,262144,12,0.015279822333416926,0.5527784824371338
4096,262144,13,0.01527747145535116,0.44734883308410645
4096,262144,14,0.015285016649850566,0.577200174331665
4096,262144,15,0.015289808070409968,0.510613203048706
4096,262144,16,0.015269358205282442,0.5766415596008301
4096,262144,17,0.015277070691576938,0.653752326965332
4096,262144,18,0.015261569608873236,0.5221226215362549
4096,262144,19,0.015273600074030945,0.5492551326751709
8192,128,0,1.5538750152757805e-07,0.011986017227172852
8192,128,1,1.5587187655894718e-07,0.010958433151245117
8192,128,2,1.5131319061445485e-07,0.010098695755004883
8192,128,3,1.5012917466855988e-07,0.009293556213378906
8192,128,4,1.5243330741199624e-07,0.009745359420776367
8192,128,5,1.5276227369148484e-07,0.009325742721557617
8192,128,6,1.526057919967383e-07,0.00930023193359375
8192,128,7,1.502892173160779e-07,0.009828805923461914
8192,128,8,1.50453744318598e-07,0.009201526641845703
8192,128,9,1.5291601588060117e-07,0.009069204330444336
8192,128,10,1.5416518048663297e-07,0.009042024612426758
8192,128,11,1.5156381324005044e-07,0.009313583374023438
8192,128,12,1.5703094270457127e-07,0.009134531021118164
8192,128,13,1.5240566624221566e-07,0.009163141250610352
